id,created_at,text
1241016483632873472,Fri Mar 20 14:59:21 +0000 2020,"Ihr könnt auf die Straßen gehen, wenn es etwas gibt, wozu man eure Stimme hören muss.

Was bringt es, stur weiterhin in Bars und Cafés zu gehen? Dem Virus müsst ihr nichts beweisen. 

Seid Mensch. Bleibt zuhause.

#Coronakrise"
1241016483653791747,Fri Mar 20 14:59:21 +0000 2020,"@Daimler &amp; @MercedesBenz unterstützen mit Reichweite gegen Corona. #Covid_19 #Coronakrise #CoronaVirusDE #StayAtHome #SocialDistancing 

—&gt; https://t.co/kJoic7ygVJ"
1241016497922805760,Fri Mar 20 14:59:24 +0000 2020,"Duisburg Hochfeld... Stehen  se alle in Grüppchen vorm Kiosk, tragen Mundschutz...

Ja samma... Hat ma euch ins Hirn geschissn? 😳🧐🤦🏻‍♀️

#AusgangsSperreJetzt #Coronakrise #Covid_19"
1241016510170218497,Fri Mar 20 14:59:27 +0000 2020,Mit einem Fernsehverbot fürs Kind tut man sich in Zeiten der #Coronakrise auch keinen Gefallen.
1241016556009684992,Fri Mar 20 14:59:38 +0000 2020,Die Getränkewirtschaft kann die aktuell erhöhte Nachfrage während der #Coronakrise decken. Es sind genug #Getränkedosen für alle da! #Recyclingmeister #Getränkeverpackung @EinWegMitPfand @aluverband @metal_packaging @allesueberAlu @vpw_online @WVMetalle https://t.co/TAd8NCPDju
1241016560279359489,Fri Mar 20 14:59:39 +0000 2020,...und viel Klimafreundlicher 👍🏻
1241016563022680064,Fri Mar 20 14:59:40 +0000 2020,"@Karl_Lauterbach Seit SIE eine Reduzierung der Gesundheitsversorgung durch Schließung von Krankenhäusern vorschlugen, warte ich eigentlich nur darauf, das Sie Rückgrat beweisen und #zurücktreten. Meinetwegen auch nach der #Coronakrise! #nieWiederSPD"
1241016572736671746,Fri Mar 20 14:59:42 +0000 2020,"Es ist faszinierend, welche kreativen Kräfte durch all das jetzt freigesetzt werden. Ich brülle! #Coronakrise #Söder https://t.co/HYMVt8qY18"
1241016579695017990,Fri Mar 20 14:59:44 +0000 2020,"Bundesweit lag die Armutsgefährdungsquote 2018 bei 15,5 %. In #Bayern weisen 21,5 % der über 65-Jährigen ein hohes #Armutsrisiko auf.

Das sind menschliche Schicksale lange vor der #Coronakrise, die man bei dem 100 Mrd. Euro (!) #Nachtragshaushalt wieder einfach ignoriert

#BuReg"
1241016587727101954,Fri Mar 20 14:59:46 +0000 2020,"Ayurveda, die Lehre vom langen, gesunden und glücklichen Leben. 
#Coronakrise, #yoga,#ayurveda,#spiritualität,#gesundheit,
 https://t.co/DkWwbEclzH"
